TransactionID,TransactionList
1,"Boots, Pullover, Jackets"
2,"Jackets, Dresses"
3,"Pullover, Jeans"
4,"Slippers, Pullover, Blazers, Sweaters, Dresses, Jeans"
5,"Pullover, Jackets, Boots"
6,"Boots, Shirts, Sweaters"
7,"Coats, Boots, Shirts"
8,"Pullover, Sweaters"
9,"Blazers, Dresses"
10,"Slippers, Jackets, Jeans"
11,"Blazers, Sweaters, Dresses"
12,"Slippers, Shirts, Coats, Jeans"
13,"Coats, Jeans, Pullover, Sweaters"
14,"Jackets, Shirts, Coats, Dresses, Boots"
15,"Boots, Jackets, Sweaters, Dresses"
16,"Boots, Slippers, Blazers, Shirts"
17,"Pullover, Shirts, Sweaters"
18,"Boots, Jackets, Coats"
19,"Shirts, Coats, Pullover, Boots"
20,"Jeans, Sweaters, Dresses"
